true/pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,37.05,6.35,2.25,2.05,4.8,2.8,2.25,3.0,2.45,9.75,27.25
AM-DSB,0.35,44.45,1.05,0.4,0.7,2.05,0.85,0.2,0.05,0.45,49.45
AM-SSB,0.95,15.05,5.8,0.6,2.65,2.25,2.0,0.9,0.0,1.5,68.3
BPSK,1.35,6.1,2.4,49.1,1.1,1.85,4.4,1.5,1.35,2.8,28.05
CPFSK,1.7,6.45,2.3,0.45,52.6,4.2,1.5,1.45,0.35,2.3,26.7
GFSK,0.5,5.8,2.1,0.55,2.2,51.8,1.6,0.65,0.15,1.65,33.0
PAM4,1.0,5.4,1.9,12.1,1.65,1.55,49.95,1.45,1.45,1.7,21.85
QAM16,10.55,5.05,1.95,2.55,3.05,2.5,2.75,16.4,31.15,7.05,17.0
QAM64,9.8,3.0,1.1,1.95,2.25,2.2,4.85,14.25,41.1,5.55,13.95
QPSK,11.45,5.65,2.75,1.7,5.65,2.55,2.0,1.95,1.75,38.95,25.6
WBFM,0.25,32.35,1.15,0.2,1.05,7.3,0.4,0.3,0.05,0.45,56.5
